"Taxa","Orderq","Modnames","AICc","Delta_AICc","LL","adjR2"
"Diatoms","0","Precip",58.32,0,-25.36,0.03
"Diatoms","0","Temp",59.91,1.59,-26.16,-0.05
"Diatoms","0","PrecipQ",61.16,2.84,-25.15,-0.01
"Diatoms","0","MainLinear",61.38,3.06,-25.26,-0.02
"Diatoms","0","TempQ",63.15,4.83,-26.15,-0.12
"Diatoms","0","Main&PrecipQ",64.21,5.89,-24.8,-0.04
"Diatoms","0","Main&TempQ",65.04,6.72,-25.21,-0.08
"Diatoms","0","Interaction",65.11,6.78,-25.25,-0.09
"Diatoms","2","Precip",58.44,0,-25.42,0.18
"Diatoms","2","PrecipQ",61.59,3.16,-25.37,0.13
"Diatoms","2","MainLinear",61.61,3.18,-25.38,0.13
"Diatoms","2","Temp",63.26,4.83,-27.83,-0.06
"Diatoms","2","Interaction",64.63,6.2,-25.01,0.11
"Diatoms","2","Main&TempQ",64.8,6.37,-25.09,0.1
"Diatoms","2","Main&PrecipQ",65.12,6.69,-25.25,0.09
"Diatoms","2","TempQ",66.37,7.93,-27.75,-0.12
"Invertebrates","0","Precip",47.1,0,-19.75,0.06
"Invertebrates","0","PrecipQ",48.94,1.84,-19.04,0.08
"Invertebrates","0","Temp",49.24,2.14,-20.82,-0.05
"Invertebrates","0","MainLinear",50.26,3.16,-19.7,0.01
"Invertebrates","0","TempQ",51.27,4.17,-20.21,-0.04
"Invertebrates","0","Main&PrecipQ",51.74,4.64,-18.56,0.06
"Invertebrates","0","Main&TempQ",53.06,5.96,-19.22,0
"Invertebrates","0","Interaction",53.97,6.87,-19.68,-0.05
"Invertebrates","2","Precip",57.29,0,-24.85,0.27
"Invertebrates","2","MainLinear",59.15,1.86,-24.15,0.27
"Invertebrates","2","Interaction",59.77,2.47,-22.58,0.34
"Invertebrates","2","PrecipQ",60.46,3.17,-24.8,0.22
"Invertebrates","2","Main&PrecipQ",61.98,4.69,-23.68,0.26
"Invertebrates","2","Main&TempQ",62.71,5.41,-24.05,0.23
"Invertebrates","2","Temp",63.78,6.49,-28.09,-0.03
"Invertebrates","2","TempQ",67.03,9.74,-28.09,-0.1
"Fish","0","Precip",98.33,0,-45.46,-0.02
"Fish","0","Temp",99.03,0.7,-45.81,-0.05
"Fish","0","TempQ",99.34,1,-44.42,0.03
"Fish","0","PrecipQ",101.38,3.05,-45.44,-0.07
"Fish","0","MainLinear",101.4,3.06,-45.45,-0.07
"Fish","0","Main&TempQ",102.26,3.92,-44.13,0
"Fish","0","Interaction",104.36,6.03,-45.18,-0.11
"Fish","0","Main&PrecipQ",104.82,6.49,-45.41,-0.13
"Fish","2","Precip",52.34,0,-22.47,-0.04
"Fish","2","Temp",52.5,0.16,-22.54,-0.05
"Fish","2","TempQ",52.87,0.53,-21.18,0.03
"Fish","2","PrecipQ",54.19,1.85,-21.85,-0.04
"Fish","2","MainLinear",55.39,3.05,-22.45,-0.1
"Fish","2","Main&TempQ",56.26,3.92,-21.13,-0.03
"Fish","2","Main&PrecipQ",57.64,5.3,-21.82,-0.1
"Fish","2","Interaction",58.53,6.19,-22.26,-0.14
"FTrait","0","Precip",61.27,0,-26.93,-0.04
"FTrait","0","Temp",61.3,0.04,-26.95,-0.05
"FTrait","0","TempQ",61.76,0.5,-25.63,0.03
"FTrait","0","PrecipQ",63.47,2.2,-26.48,-0.06
"FTrait","0","MainLinear",64.21,2.95,-26.86,-0.09
"FTrait","0","Main&TempQ",65.17,3.9,-25.59,-0.03
"FTrait","0","Main&PrecipQ",66.97,5.7,-26.48,-0.12
"FTrait","0","Interaction",67.57,6.31,-26.79,-0.15
"FTrait","2","Temp",36.6,0,-14.59,-0.03
"FTrait","2","PrecipQ",36.85,0.26,-13.18,0.05
"FTrait","2","Precip",37.06,0.47,-14.82,-0.05
"FTrait","2","TempQ",37.93,1.34,-13.72,0
"FTrait","2","MainLinear",39.61,3.01,-14.55,-0.08
"FTrait","2","Main&PrecipQ",40.34,3.75,-13.17,0
"FTrait","2","Main&TempQ",41.27,4.67,-13.63,-0.05
"FTrait","2","Interaction",43.03,6.43,-14.51,-0.14
