"Taxa","Orderq","Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"Diatoms","0","Intercept",24.3603184556596,0.502482350514584,48.4799484612994,1.14653353279447e-19
"Diatoms","0","AvPrecip",-0.143778490605387,0.0928198740829081,-1.54900544765836,0.13979509467282
"Diatoms","2","Intercept",19.1675053334778,0.560250971794495,34.212355352252,4.05142874494283e-17
"Diatoms","2","AvPrecip",-0.128553992583743,0.103491047205015,-1.24217500987383,0.231035770418129
"Invertebrates","0","Intercept",27.0159637926003,0.391943755691524,68.9281648203194,2.97791985167276e-22
"Invertebrates","0","AvPrecip",-0.0829889814594019,0.0724008913220792,-1.14624253850993,0.267573694464316
"Invertebrates","2","Intercept",24.2859311610661,0.515822910554732,47.0819164176873,1.87892624115576e-19
"Invertebrates","2","AvPrecip",-0.234009613767177,0.0952841777581593,-2.45591261081264,0.025109102618733
"Fish","0","Intercept",4.43076377116126,21.2150796537674,0.208849735352016,0.836788301688848
"Fish","0","AvTempMax",0.299249635959481,0.656383413550536,0.455906760868267,0.653624873114021
"Fish","2","Intercept",3.67671289505229,6.88934557297368,0.533681008755858,0.59975084476938
"Fish","2","AvTempMax",0.201156709221,0.213152730893221,0.943721004080262,0.357158958464473
"FTrait","0","Intercept",-1.36986811441736,8.45106794026789,-0.162094083741793,0.872943156797136
"FTrait","0","AvTempMax",0.287259550014061,0.261471600074594,1.09862619853212,0.285658375432772
"FTrait","2","Intercept",-0.0685729653383682,4.60199117976757,-0.0149007163768253,0.988266744668988
"FTrait","2","AvTempMax",0.22017229174801,0.142383188232285,1.54633629490596,0.13851782189941
