"Column3","Column2","Column4","Column1","Modnames","AICc","Delta_AICc","LL","AdjR2","FStatistic","Pval"
"Disturbed","Diatoms","Cmin","0","1",76.4611483582592,0,-34.4305741791296,0.0315765541151226,1.58691058801541,0.22478859652924
"Disturbed","Diatoms","Cmin","0","3",78.4064783809056,1.94533002264643,-31.8955468827605,0.159507860939598,2.13867473728842,0.138081154532952
"Disturbed","Diatoms","Cmin","0","2",78.7063106338369,2.24516227557768,-33.924583888347,0.0244202382954317,1.22528362445206,0.31980266548168
"Disturbed","Diatoms","Cmin","0","4",82.7529055660844,6.29175720782524,-31.8764527830422,0.101280864945764,1.50712605805198,0.253334417824691
"Undisturbed","Diatoms","Cmin","0","1",69.720916227399,0,-31.0604581136995,0.0180783666338913,1.33140180270243,0.264520606714668
"Undisturbed","Diatoms","Cmin","0","2",70.3976925711088,0.676776343709804,-29.770274856983,0.0891963332552895,1.8813831439291,0.184577170095224
"Undisturbed","Diatoms","Cmin","0","3",74.0297561552488,4.30883992784982,-29.7071857699321,0.0349065609930233,1.21701459930516,0.337772947113695
"Undisturbed","Diatoms","Cmin","0","4",78.4094687605427,8.68855253314364,-29.7047343802713,-0.0337618972595417,0.853033335751015,0.515228146986753
"Disturbed","Diatoms","Cmin","2","1",72.1079145766765,0,-32.2539572883383,-0.0145467414714944,0.741912978689257,0.401035087120333
"Disturbed","Diatoms","Cmin","2","3",72.5070941844527,0.39917960777619,-28.9458547845341,0.188293307823636,2.39183261371504,0.109300768290556
"Disturbed","Diatoms","Cmin","2","2",73.8860431856027,1.77812860892621,-31.5144501642299,0.00277243042005559,1.02502124343695,0.381183447193092
"Disturbed","Diatoms","Cmin","2","4",76.7235163642265,4.61560178754992,-28.8617581821132,0.137978979649653,1.72029033372189,0.201380901257545
"Undisturbed","Diatoms","Cmin","2","1",66.730712262811,0,-29.5653561314055,-0.0521268676925,0.108202967458838,0.746217023495158
"Undisturbed","Diatoms","Cmin","2","2",68.6787455139838,1.94803325117289,-28.9108013284205,-0.043455519062227,0.625187979348146,0.547736073550921
"Undisturbed","Diatoms","Cmin","2","3",71.0190678398232,4.28835557701221,-28.2018416122193,-0.0329812123819497,0.808430906661515,0.508685506764801
"Undisturbed","Diatoms","Cmin","2","4",75.182288104389,8.45157584157808,-28.0911440521945,-0.0939439834782025,0.613556149092954,0.659861480609125
"Disturbed","Diatoms","Cmax","0","3",79.5294648550484,0,-32.4570401198319,0.317309512469902,3.78875582653475,0.0332277319359682
"Disturbed","Diatoms","Cmax","0","1",80.3137104290975,0.784245574049038,-36.3568552145487,0.0918720344926901,2.82099515011038,0.111321562429206
"Disturbed","Diatoms","Cmax","0","2",82.0667487893979,2.5372839343495,-35.6048029661275,0.108552516905784,2.09593966069766,0.155433964933164
"Disturbed","Diatoms","Cmax","0","4",83.4862641761068,3.95679932105836,-32.2431320880534,0.284831751722724,2.79222565576669,0.0676546446758853
"Undisturbed","Diatoms","Cmax","0","1",97.5175178726129,0,-44.9587589363064,-0.0545789128100838,0.0684239760079201,0.796788315887578
"Undisturbed","Diatoms","Cmax","0","2",98.619175882769,1.10165801015611,-43.8810165128131,-0.000319654476373721,0.99712402902963,0.390742127096552
"Undisturbed","Diatoms","Cmax","0","3",101.906904590959,4.38938671834649,-43.6457599877874,-0.0409089062454975,0.764193162340861,0.531599585362783
"Undisturbed","Diatoms","Cmax","0","4",106.291505170346,8.77398729773304,-43.645752585173,-0.115258673370822,0.534938357752413,0.712415145886297
"Disturbed","Diatoms","Cmax","2","3",70.4380348894159,0,-27.9113251370156,0.249038236795129,2.98975433102461,0.0643481844491232
"Disturbed","Diatoms","Cmax","2","1",71.1816630462647,0.743628156848757,-31.7908315231323,0.00318949541834646,1.05759461529183,0.318175309593441
"Disturbed","Diatoms","Cmax","2","2",72.6117237569496,2.17368886753373,-30.8772904499034,0.0379916890556324,1.35542853176085,0.285897535968685
"Disturbed","Diatoms","Cmax","2","4",74.7928307960148,4.35479590659887,-27.8964153980074,0.196659899824569,2.10161256610656,0.134816705724907
"Undisturbed","Diatoms","Cmax","2","1",69.6658793182378,0,-31.0329396591189,-0.0584149981986466,0.00656172733268966,0.936384413608593
"Undisturbed","Diatoms","Cmax","2","2",71.4148351653748,1.74895584713703,-30.278846154116,-0.0387508261143026,0.664253037147192,0.528288160629021
"Undisturbed","Diatoms","Cmax","2","3",73.6932726807503,4.02739336251248,-29.5389440326828,-0.0249798458239392,0.85377363705805,0.486158023071881
"Undisturbed","Diatoms","Cmax","2","4",77.9328123694029,8.26693305116513,-29.4664061847015,-0.0898393045211634,0.629049100479213,0.649750724980155
"Disturbed","Invertebrates","Cmin","0","1",56.7964706662802,0,-24.5982353331401,-0.0462803908199727,0.203801349935798,0.657375871326389
"Disturbed","Invertebrates","Cmin","0","2",58.8607449102004,2.06427424392013,-24.0018010265287,-0.0440250182393942,0.620483075374259,0.550132202631915
"Disturbed","Invertebrates","Cmin","0","3",61.9236508444628,5.12718017818259,-23.6541331145391,-0.0736084434589035,0.588629668996892,0.631814613622845
"Disturbed","Invertebrates","Cmin","0","4",66.1710773001356,9.37460663385537,-23.5855386500678,-0.142019005477246,0.440389764458837,0.777486442528365
"Undisturbed","Invertebrates","Cmin","0","2",50.3926204039842,0,-19.7677387734207,0.165817157022754,2.78900156694483,0.0913839332487978
"Undisturbed","Invertebrates","Cmin","0","1",51.9782876246534,1.58566722066917,-22.1891438123267,-0.0130417662291202,0.768270371518849,0.392970312284263
"Undisturbed","Invertebrates","Cmin","0","3",53.4284746891945,3.03585428521029,-19.406545036905,0.14340027655103,2.00443840425479,0.156653576994701
"Undisturbed","Invertebrates","Cmin","0","4",57.0642156991992,6.67159529521494,-19.0321078495996,0.117684966517697,1.60021911588596,0.229086733411016
"Disturbed","Invertebrates","Cmin","2","1",60.5759468721898,0,-26.4879734360949,0.00308290571088221,1.05566390938,0.318604442795188
"Disturbed","Invertebrates","Cmin","2","2",60.9477417658084,0.371794893618606,-25.0452994543328,0.0900116347301407,1.89023634091303,0.183259517005767
"Disturbed","Invertebrates","Cmin","2","3",64.6233915644891,4.0474446922993,-25.0040034745522,0.0335559671761644,1.20832639678959,0.340720187641826
"Disturbed","Invertebrates","Cmin","2","4",68.6081133168719,8.03216644468214,-24.804056658436,-0.0139098025967974,0.938264615328431,0.47033240032364
"Undisturbed","Invertebrates","Cmin","2","1",59.8670240883092,0,-26.1335120441546,0.166196988719361,4.58783280520152,0.0469745381254019
"Undisturbed","Invertebrates","Cmin","2","2",61.5514662373985,1.68444214908934,-25.3471616901278,0.184461951769627,3.03565924303471,0.0762664690898757
"Undisturbed","Invertebrates","Cmin","2","3",64.2425407794754,4.3755166911662,-24.8135780820454,0.177605750082706,2.29577085516272,0.119359055106687
"Undisturbed","Invertebrates","Cmin","2","4",67.8442390585447,7.97721497023554,-24.4221195292723,0.154433674228633,1.82187702235526,0.180732529826828
"Disturbed","Invertebrates","Cmax","0","1",65.802335551238,0,-29.101167775619,-0.0235298186008657,0.586199906325598,0.454391965718329
"Disturbed","Invertebrates","Cmax","0","2",68.1280320955862,2.32569654434819,-28.6354446192217,-0.0354730664398781,0.691679476457499,0.515098489572763
"Disturbed","Invertebrates","Cmax","0","3",70.9731692120757,5.17083366083764,-28.1788922983455,-0.0526794526965837,0.699740775437549,0.566664997491328
"Disturbed","Invertebrates","Cmax","0","4",74.9114287044448,9.10909315320674,-27.9557143522224,-0.101683241239816,0.584658667345955,0.678951022823637
"Undisturbed","Invertebrates","Cmax","0","1",83.2324567451816,0,-37.8162283725908,-0.0325999303282611,0.431726917004382,0.519939932393285
"Undisturbed","Invertebrates","Cmax","0","2",86.2540152547957,3.02155850961404,-37.6984361988264,-0.0836178149564777,0.305511293538004,0.740950014871342
"Undisturbed","Invertebrates","Cmax","0","3",90.0088220131172,6.77636526793562,-37.6967186988663,-0.155650054372752,0.191883111411782,0.900280391369358
"Undisturbed","Invertebrates","Cmax","0","4",92.7197717935249,9.48731504834332,-36.8598858967625,-0.13379250389428,0.468980201001225,0.757692800362458
"Disturbed","Invertebrates","Cmax","2","2",61.8539220522877,0,-25.4983895975724,0.118602818770695,2.21106056573439,0.141955779426177
"Disturbed","Invertebrates","Cmax","2","1",61.8803268539315,0.0264048016438068,-27.1401634269657,0.0139549626781199,1.25474427505704,0.278224607898858
"Disturbed","Invertebrates","Cmax","2","3",65.4963813985955,3.64245934630782,-25.4404983916054,0.0655547251195874,1.42092176106071,0.2757395095021
"Disturbed","Invertebrates","Cmax","2","4",69.3398046809967,7.48588262870899,-25.1699023404983,0.0269240458496606,1.12451053363996,0.384347509812053
"Undisturbed","Invertebrates","Cmax","2","1",63.0707693773556,0,-27.7353846886778,0.132021061836745,3.73783038801621,0.0700240212609614
"Undisturbed","Invertebrates","Cmax","2","2",65.1947888460002,2.12401946864455,-27.1688229944287,0.131164335779536,2.35869079807512,0.126555474848606
"Undisturbed","Invertebrates","Cmax","2","3",67.9032502209805,4.83248084362487,-26.6439328027979,0.12305794326395,1.84195717825623,0.182878483684114
"Undisturbed","Invertebrates","Cmax","2","4",71.6715731114423,8.60080373408663,-26.3357865557211,0.0904069108206453,1.44726713904561,0.2703342703905
"Disturbed","Fish","Cmin","0","4",71.4069525447294,0,-26.2034762723647,0.389558609412429,3.87171507270926,0.0254340863567792
"Disturbed","Fish","Cmin","0","1",73.5930512762818,2.18609873155241,-32.9965256381409,-0.0277056786060952,0.514742182230503,0.482836086728795
"Disturbed","Fish","Cmin","0","2",74.6215913803846,3.21463883565517,-31.8822242616209,0.0289151581298911,1.2679852593187,0.308203254893082
"Disturbed","Fish","Cmin","0","3",78.0395172436543,6.63256469892494,-31.7120663141349,-0.017435982103654,0.897176928610663,0.465485500186604
"Undisturbed","Fish","Cmin","0","1",88.700939558443,0,-40.5504697792215,-0.0587866953814922,0.000591411393213953,0.980881378919405
"Undisturbed","Fish","Cmin","0","2",91.8384341842618,3.13749462581875,-40.4906456635595,-0.117898934338889,0.0508172282340377,0.950605138707039
"Undisturbed","Fish","Cmin","0","4",92.5698834317194,3.86894387327636,-36.7849417158597,0.135057056165008,1.70265531047384,0.205215971979729
"Undisturbed","Fish","Cmin","0","3",94.7263992268599,6.02545966841686,-40.0555073057376,-0.139039604891995,0.267595590382415,0.847721113170742
"Disturbed","Fish","Cmin","2","4",42.9901844722244,0,-11.9950922361122,0.502875029181946,5.55204981474765,0.00683888020724516
"Disturbed","Fish","Cmin","2","2",47.149772257696,4.15958778547157,-18.1463147002766,0.16885260173528,2.82840422624231,0.0887573277742119
"Disturbed","Fish","Cmin","2","1",48.4379203580793,5.44773588585493,-20.4189601790397,0.00632680816494413,1.1146076475694,0.305856115443229
"Disturbed","Fish","Cmin","2","3",48.6095097985525,5.61932532632808,-16.9970625915839,0.214459694209523,2.63805492318093,0.087545733812173
"Undisturbed","Fish","Cmin","2","1",60.4599999166317,0,-26.4299999583158,-0.0440826962458285,0.240013712249009,0.630458515380506
"Undisturbed","Fish","Cmin","2","4",60.9640696751844,0.504069758552745,-20.9820348375922,0.285502157334976,2.79812958317038,0.0672716932870506
"Undisturbed","Fish","Cmin","2","2",62.984184372911,2.52418445627935,-26.0635207578841,-0.067358133385433,0.4320339335907,0.656539909383949
"Undisturbed","Fish","Cmin","2","3",64.006110634121,3.54611071748932,-24.6953630093682,0.0141898837625332,1.08636480917862,0.385004054006036
"Disturbed","Fish","Cmax","0","1",93.0935690482535,0,-42.7467845241268,-0.0506948133093206,0.131520753687081,0.721329964201008
"Disturbed","Fish","Cmax","0","2",94.8688554072505,1.77528635899692,-42.0058562750538,-0.032604082255997,0.715828413477814,0.503791135447388
"Disturbed","Fish","Cmax","0","4",96.8301239007705,3.73655485251702,-38.9150619503853,0.14762740660953,1.7793813819147,0.189079507037167
"Disturbed","Fish","Cmax","0","3",98.3875069975315,5.29393794927799,-41.8860611910735,-0.0876423360377763,0.516519356774658,0.677186033857495
"Undisturbed","Fish","Cmax","0","1",117.202216626683,0,-54.8011083133414,-0.0515120857521885,0.118205528873103,0.735204668325294
"Undisturbed","Fish","Cmax","0","2",120.451313489643,3.2490968629605,-54.7970853162502,-0.116758573438047,0.0590381968527437,0.942875134250886
"Undisturbed","Fish","Cmax","0","4",123.750591187028,6.54837456034558,-52.3752955935141,0.0109036030453102,1.0496071099389,0.416982084373489
"Undisturbed","Fish","Cmax","0","3",124.14293573451,6.94071910782753,-54.7637755595628,-0.187039733930107,0.054590700291823,0.982557403882649
"Disturbed","Fish","Cmax","2","4",47.5822158652781,0,-14.2911079326391,0.426753276931882,4.35002306845332,0.0170887270543483
"Disturbed","Fish","Cmax","2","2",49.5391231918395,1.95690732656138,-19.3409901673483,0.14649503135667,2.54475407952897,0.109755994664179
"Disturbed","Fish","Cmax","2","1",51.2075209675884,3.62530510231028,-21.8037604837942,-0.0410298291961311,0.290570832057091,0.596844407489142
"Disturbed","Fish","Cmax","2","3",51.2307859619668,3.64857009668864,-18.3077006732911,0.183421892101209,2.34773555886666,0.113796780730711
"Undisturbed","Fish","Cmax","2","1",64.6338440452712,0,-28.5169220226356,-0.038096315981005,0.339431537226803,0.567805525897193
"Undisturbed","Fish","Cmax","2","4",65.9424957417943,1.30865169652307,-23.4712478708971,0.258869836655199,2.57180792600724,0.0838472316909771
"Undisturbed","Fish","Cmax","2","2",67.3929862418991,2.75914219662791,-28.2679216923781,-0.0744432614915653,0.376431145843854,0.692225689150209
"Undisturbed","Fish","Cmax","2","3",68.4523046038721,3.81846055860095,-26.9184599942438,0.00569119099177573,1.03434259622492,0.405638403143698
"Disturbed","Fish (Trait)","Cmin","0","1",46.277556130749,0,-19.3387780653745,-0.000872180715777437,0.984314427769623,0.335048415489933
"Disturbed","Fish (Trait)","Cmin","0","3",47.1223215249842,0.844765394235175,-16.2534684547998,0.180232478388944,2.31914822413121,0.116820458872733
"Disturbed","Fish (Trait)","Cmin","0","2",48.0654466976927,1.78789056694368,-18.6041519202749,0.0157079680284473,1.14362781335622,0.34337729557354
"Disturbed","Fish (Trait)","Cmin","0","4",49.961429550543,3.68387341979394,-15.4807147752715,0.190294040550271,2.05757302695187,0.141113360430359
"Undisturbed","Fish (Trait)","Cmin","0","1",49.8084620675103,0,-21.1042310337552,-0.0443301202456308,0.2359291866123,0.633363045467994
"Undisturbed","Fish (Trait)","Cmin","0","3",51.6703583252553,1.86189625774502,-18.5274868549354,0.0976000374927015,1.6489364464612,0.220405232041312
"Undisturbed","Fish (Trait)","Cmin","0","2",52.2328874319123,2.42442536440202,-20.6878722873847,-0.0620202941069341,0.474414330818612,0.630728341637822
"Undisturbed","Fish (Trait)","Cmin","0","4",52.2692423958821,2.46078032837181,-16.6346211979411,0.207809657675533,2.18045299163327,0.124298068430146
