"Taxa","Session","n","S.obs","SC(n)","SC(2n)","Singletons","Doubletons"
"BenthicInvertebrates","1",8096,26,1,1,0,1
"BenthicInvertebrates","10",11638,27,1,1,0,0
"BenthicInvertebrates","11",12737,28,0.999843001807415,0.999978752605226,2,0
"BenthicInvertebrates","12",8934,27,1,1,0,0
"BenthicInvertebrates","13",11770,28,1,1,1,0
"BenthicInvertebrates","14",19987,28,1,1,1,0
"BenthicInvertebrates","15",8269,27,1,1,0,1
"BenthicInvertebrates","16",5306,27,1,1,0,1
"BenthicInvertebrates","17",14505,27,1,1,0,0
"BenthicInvertebrates","18",19723,26,1,1,0,0
"BenthicInvertebrates","19",10567,26,1,1,0,1
"BenthicInvertebrates","2",12933,28,0.999845380751752,0.999979074560328,2,0
"BenthicInvertebrates","3",8750,25,1,1,0,0
"BenthicInvertebrates","4",6177,27,0.999838213898201,0.999997034865415,1,2
"BenthicInvertebrates","5",10696,27,1,1,0,2
"BenthicInvertebrates","6",11791,27,0.999830407871514,0.999977048201367,2,0
"BenthicInvertebrates","7",11553,27,1,1,0,0
"BenthicInvertebrates","8",6557,27,1,1,0,1
"BenthicInvertebrates","9",13517,27,1,1,0,0
"Diatoms","1",33164,25,0.999969848640229,0.999995919457188,1,1
"Diatoms","10",21414,25,1,1,0,0
"Diatoms","11",12592,25,1,1,1,0
"Diatoms","12",7802,23,0.999871860588525,0.999982658216644,1,1
"Diatoms","13",13234,25,1,1,0,0
"Diatoms","14",13764,26,1,1,0,1
"Diatoms","15",15255,26,1,1,0,0
"Diatoms","16",9721,25,1,1,1,0
"Diatoms","17",13902,26,0.999928088596339,0.99999868251774,1,2
"Diatoms","18",13188,25,1,1,1,0
"Diatoms","19",11049,26,0.99981900452637,0.999933418499567,2,1
"Diatoms","2",18093,26,1,1,1,0
"Diatoms","3",16461,25,1,1,0,2
"Diatoms","4",14156,22,0.999788085708263,0.999891202990894,3,1
"Diatoms","5",16841,25,1,1,1,0
"Diatoms","6",17141,25,1,1,1,0
"Diatoms","7",14925,23,1,1,1,0
"Diatoms","8",8921,24,0.999775860142357,0.999969665969136,2,0
"Diatoms","9",15692,25,1,1,0,2
"Fish","1",3254,15,0.999385560733912,0.999773995163177,2,1
"Fish","10",4986,14,1,1,0,1
"Fish","11",5482,15,1,1,1,0
"Fish","12",4127,14,0.999515621272655,0.999934446470307,2,0
"Fish","13",3847,14,1,1,0,1
"Fish","14",8077,16,0.99975244461707,0.999966497022477,2,0
"Fish","15",3539,16,1,1,0,1
"Fish","16",2191,16,1,1,0,1
"Fish","17",5159,19,0.999612478231014,0.999947554632947,2,0
"Fish","18",8394,17,0.999761791335965,0.999967761963289,2,0
"Fish","19",4430,15,1,1,1,0
"Fish","2",7656,16,1,1,1,0
"Fish","20",3514,16,0.999715585939113,0.999961508744591,1,1
"Fish","21",5628,15,1,1,0,1
"Fish","22",7686,17,0.999609730720799,0.999856437296009,3,0
"Fish","3",4010,19,0.998503889923518,0.998997207467497,6,0
"Fish","4",2790,17,1,1,1,0
"Fish","5",3868,18,0.999483204203433,0.999930059297613,2,2
"Fish","6",5911,20,0.999492528907343,0.999739475245442,3,1
"Fish","7",4472,17,0.999776486388016,0.999969750723023,1,1
"Fish","8",4181,15,1,1,0,0
"Fish","9",3240,15,0.999691548485645,0.999958255629591,1,1
"Fish&Crustaceans","1",3297,17,0.999393571917522,0.999776941412823,2,1
"Fish&Crustaceans","10",5038,16,1,1,0,1
"Fish&Crustaceans","11",5508,17,1,1,1,0
"Fish&Crustaceans","12",4140,17,0.999275537352097,0.999733517276971,3,0
"Fish&Crustaceans","13",3872,17,0.999741868903812,0.999965065756539,1,1
"Fish&Crustaceans","14",8118,19,0.999753694588755,0.999966666187744,2,0
"Fish&Crustaceans","15",3573,19,1,1,0,1
"Fish&Crustaceans","16",2209,19,1,1,0,2
"Fish&Crustaceans","17",5214,22,0.999616564445381,0.999948107641885,2,0
"Fish&Crustaceans","18",8454,20,0.999763481558179,0.999967990709984,2,0
"Fish&Crustaceans","19",4558,18,1,1,1,0
"Fish&Crustaceans","2",7748,18,1,1,1,0
"Fish&Crustaceans","20",3527,18,0.999716794200305,0.999994807022671,1,2
"Fish&Crustaceans","21",5671,18,1,1,0,1
"Fish&Crustaceans","22",7811,20,0.999615975428721,0.999858734299124,3,0
"Fish&Crustaceans","3",4055,21,0.998520491232919,0.999008333891245,6,0
"Fish&Crustaceans","4",2804,20,0.999643620903166,0.99995176933808,1,1
"Fish&Crustaceans","5",3907,21,0.999232409448705,0.999797688347477,3,2
"Fish&Crustaceans","6",5947,23,0.999495600525117,0.999741052030114,3,1
"Fish&Crustaceans","7",4488,19,0.999777282872889,0.999969858515518,1,1
"Fish&Crustaceans","8",4196,17,1,1,0,0
"Fish&Crustaceans","9",3253,18,0.999077963381524,0.99952667530295,3,1
