"Taxa","Session","n","S.obs","SC(n)","SC(2n)","Singletons","Doubletons"
"Fish",1,3254,15,0.999385560733912,0.999773995163177,2,1
"Fish",2,7658,16,1,1,0,0
"Fish",3,4010,19,0.998503889923518,0.998997207467497,6,0
"Fish",4,2790,17,1,1,1,0
"Fish",5,3868,18,0.999483204203433,0.999930059297613,2,2
"Fish",6,5911,20,0.999492528907343,0.999739475245442,3,1
"Fish",7,4472,17,0.999776486388016,0.999969750723023,1,1
"Fish",8,4181,15,1,1,0,0
"Fish",9,3240,15,0.999691548485645,0.999958255629591,1,1
"Fish",10,4786,14,1,1,0,1
"Fish",11,5482,15,1,1,1,0
"Fish",12,4127,14,0.999515621272655,0.999934446470307,2,0
"Fish",13,3847,14,1,1,0,1
"Fish",14,8077,16,0.99975244461707,0.999966497022477,2,0
"Fish",15,3539,16,1,1,0,1
"Fish",16,2191,16,1,1,0,1
"Fish",17,5159,19,0.999612478231014,0.999947554632947,2,0
"Fish",18,8394,17,0.999761791335965,0.999967761963289,2,0
"Fish",19,4427,15,1,1,1,0
"Fish",20,3514,16,0.999715585939113,0.999961508744591,1,1
"Fish",21,4966,15,1,1,0,1
"Fish",22,6664,17,0.999549887482004,0.999834425283197,3,0
"Fish",23,4511,18,0.999556737610435,0.999836950955891,2,1
"Invertebrates",1,8096,26,1,1,0,1
"Invertebrates",2,12933,28,0.999845380751752,0.999979074560328,2,0
"Invertebrates",3,8750,25,1,1,0,0
"Invertebrates",4,6177,27,0.999838213898201,0.999997034865415,1,2
"Invertebrates",5,10696,27,1,1,0,2
"Invertebrates",6,11791,27,0.999830407871514,0.999977048201367,2,0
"Invertebrates",7,11553,27,1,1,0,0
"Invertebrates",8,6557,27,1,1,0,1
"Invertebrates",9,13517,27,1,1,0,0
"Invertebrates",10,11638,27,1,1,0,0
"Invertebrates",11,12737,28,0.999843001807415,0.999978752605226,2,0
"Invertebrates",12,8934,27,1,1,0,0
"Invertebrates",13,11770,28,1,1,1,0
"Invertebrates",14,19987,28,1,1,1,0
"Invertebrates",15,8269,27,1,1,0,1
"Invertebrates",16,5306,27,1,1,0,1
"Invertebrates",17,14505,27,1,1,0,0
"Invertebrates",18,19723,26,1,1,0,0
"Invertebrates",19,10567,26,1,1,0,1
"Diatoms",1,33164,25,0.999969848640229,0.999995919457188,1,1
"Diatoms",2,18093,26,1,1,1,0
"Diatoms",3,16461,25,1,1,0,2
"Diatoms",4,14156,22,0.999788085708263,0.999891202990894,3,1
"Diatoms",5,16841,25,1,1,1,0
"Diatoms",6,17141,25,1,1,1,0
"Diatoms",7,14925,23,1,1,1,0
"Diatoms",8,8921,24,0.999775860142357,0.999969665969136,2,0
"Diatoms",9,15692,25,1,1,0,2
"Diatoms",10,21414,25,1,1,0,0
"Diatoms",11,12592,25,1,1,1,0
"Diatoms",12,7802,23,0.999871860588525,0.999982658216644,1,1
"Diatoms",13,13234,25,1,1,0,0
"Diatoms",14,13764,26,1,1,0,1
"Diatoms",15,15255,26,1,1,0,0
"Diatoms",16,9721,25,1,1,1,0
"Diatoms",17,13902,26,0.999928088596339,0.99999868251774,1,2
"Diatoms",18,13188,25,1,1,1,0
"Diatoms",19,11049,26,0.99981900452637,0.999933418499567,2,1
