"Taxa","Session","n","S.obs","SC(n)","SC(2n)","Singletons","Doubletons"
"Fish",1,951,12,0.998950684374696,0.999857990677325,1,1
"Fish",2,1933,14,0.998965874113372,0.999619664772924,2,1
"Fish",3,1203,15,0.996676822356526,0.99829445431165,4,0
"Fish",4,857,13,1,1,0,1
"Fish",5,1502,16,0.999335990550805,0.999987805861753,1,2
"Fish",6,2159,18,0.998610896942028,0.999286957558683,3,1
"Fish",7,1381,14,0.998553869917455,0.999804287644095,2,0
"Fish",8,1684,12,1,1,1,0
"Fish",9,1388,13,0.998560115938177,0.999470487128757,2,1
"Fish",10,1905,12,0.999476166108167,0.999990385505512,1,2
"Fish",11,1948,13,0.998974359514646,0.999861194678802,2,0
"Fish",12,1297,12,1,1,1,0
"Fish",13,1774,12,1,1,0,2
"Fish",14,3499,11,1,1,0,0
"Fish",15,1305,12,1,1,0,0
"Fish",16,744,15,0.997319044526232,0.999637172568595,2,0
"Fish",17,1157,16,0.999137188518338,0.999883231221902,1,1
"Fish",18,1843,15,1,1,0,1
"Fish",19,1663,11,1,1,0,0
"Fish",20,1483,11,1,1,0,0
"Fish",21,1651,13,1,1,0,0
"Fish",22,2742,13,1,1,0,1
"Fish",23,1331,13,0.9984996265988,0.9997969466172,2,0
"Invertebrates",1,3850,25,0.999740394635227,0.999964866236009,1,1
"Invertebrates",2,6152,28,0.999674955314943,0.999880432462131,2,1
"Invertebrates",3,3979,25,1,1,0,1
"Invertebrates",4,2614,26,0.99923518175629,0.999718692918564,2,1
"Invertebrates",5,5817,25,1,1,0,0
"Invertebrates",6,5277,26,1,1,1,0
"Invertebrates",7,5862,27,1,1,0,0
"Invertebrates",8,3309,27,1,1,0,3
"Invertebrates",9,6502,27,1,1,1,0
"Invertebrates",10,5394,27,0.999629355103309,0.999949838669075,2,0
"Invertebrates",11,5587,26,1,1,0,0
"Invertebrates",12,3688,27,1,1,0,1
"Invertebrates",13,5789,28,0.999654636525529,0.999953260137293,2,0
"Invertebrates",14,7864,28,0.999872870586364,0.999982794904983,1,1
"Invertebrates",15,4096,27,1,1,0,3
"Invertebrates",16,2472,26,0.999595796413564,0.999945296999112,1,1
"Invertebrates",17,6653,27,1,1,0,0
"Invertebrates",18,9486,26,1,1,0,1
"Invertebrates",19,4939,26,1,1,1,0
"Diatoms",1,16368,25,0.999938912645538,0.999991732725602,1,1
"Diatoms",2,10755,26,0.999721085907952,0.999897398010056,3,0
"Diatoms",3,7710,25,0.99987033195457,0.999982451338542,1,1
"Diatoms",4,9467,21,0.999788784459249,0.999971415085181,2,2
"Diatoms",5,9325,25,0.999785568783746,0.999970979890836,2,0
"Diatoms",6,9136,25,0.999890614752991,0.999999728504847,1,3
"Diatoms",7,8514,23,1,1,1,0
"Diatoms",8,6051,23,0.999834792673817,0.999977641620125,1,1
"Diatoms",9,7198,24,0.999861111116472,0.999981203433851,1,1
"Diatoms",10,11486,25,1,1,0,3
"Diatoms",11,7458,25,1,1,1,0
"Diatoms",12,4411,22,0.999773499480281,0.999995847736597,1,2
"Diatoms",13,7002,24,1,1,1,0
"Diatoms",14,6532,26,1,1,1,0
"Diatoms",15,5558,26,1,1,1,0
"Diatoms",16,5059,24,0.99980241060623,0.999973259184126,1,1
"Diatoms",17,6496,25,0.99984615386073,0.999997180474665,1,2
"Diatoms",18,7446,25,0.999865735772834,0.999981829313006,1,1
"Diatoms",19,5249,26,0.99961912019523,0.99994845352499,2,2
