"Taxa","Session","T","U","S.obs","SC(T)","SC(2T)","Singletons","Doubletons"
"Fish",1,8,50,14,0.925333333333333,0.957004700692342,4,1
"Fish",2,8,62,15,0.955820476858345,0.978662049973872,3,1
"Fish",3,8,61,15,0.958688524590164,0.98975988121979,3,2
"Fish",4,8,57,17,0.899521531100478,0.930745831398892,6,1
"Fish",5,8,49,14,0.952380952380952,0.993622874705524,3,3
"Fish",6,8,63,16,0.944444444444444,0.980910615788566,4,2
"Fish",7,8,59,16,0.947269303201507,0.992938324532671,4,4
"Fish",8,8,60,14,0.958,0.989589212573454,3,2
"Fish",9,8,53,13,0.989840348330914,0.999928201343171,1,3
"Fish",10,8,60,13,0.991025641025641,0.999936577853135,1,3
"Fish",11,8,55,14,0.957575757575758,0.994318561101285,3,3
"Fish",12,8,49,12,0.987012987012987,0.999650737375073,1,2
"Fish",13,8,57,14,0.992776057791538,0.999994030097861,1,5
"Fish",14,8,57,16,0.9212775528565,0.966877273041883,5,2
"Fish",15,8,60,16,0.963793103448276,0.997262452422061,3,4
"Fish",16,8,58,16,0.978056426332288,0.999409866599261,2,4
"Fish",17,8,57,15,0.955789473684211,0.989041276393109,3,2
"Fish",18,8,64,17,0.948529411764706,0.989110898498695,4,3
"Fish",19,8,67,15,0.991963260619977,0.999943204047583,1,3
"Fish",20,8,64,16,0.963541666666667,0.995117513446417,3,3
"Fish",21,8,58,15,0.962544589774079,0.997168054229718,3,4
"Fish",22,8,69,17,0.932367149758454,0.961054982511179,5,0
"Fish",23,8,63,17,0.940740740740741,0.965876746581223,4,1
"Invertebrates",1,8,142,25,0.990140845070423,0.999431639338028,2,3
"Invertebrates",2,8,158,26,0.990154711673699,0.998681522618442,2,2
"Invertebrates",3,8,159,25,1,1,0,3
"Invertebrates",4,8,129,26,0.974464204286366,0.99459765506912,4,3
"Invertebrates",5,8,145,27,0.991222570532915,0.999763946639704,2,4
"Invertebrates",6,8,163,26,0.995228357191547,0.99936098335495,1,1
"Invertebrates",7,8,145,26,0.996286472148541,0.999973756353021,1,3
"Invertebrates",8,8,146,25,0.981238832638475,0.990938678756028,3,1
"Invertebrates",9,8,159,27,0.996613449443638,0.99997606711439,1,3
"Invertebrates",10,8,169,27,1,1,0,2
"Invertebrates",11,8,168,28,0.983695652173913,0.9921252803475,3,1
"Invertebrates",12,8,155,25,0.994982078853047,0.99932800185069,1,1
"Invertebrates",13,8,155,26,0.996526054590571,0.999975449491536,1,3
"Invertebrates",14,8,175,27,1,1,0,2
"Invertebrates",15,8,149,25,0.989560029828486,0.998601883045059,2,2
"Invertebrates",16,8,127,26,0.981627296587926,0.997539534335202,3,3
"Invertebrates",17,8,167,27,0.99677567941041,0.999977213599929,1,3
"Invertebrates",18,8,154,26,0.98989898989899,0.998647276452687,2,2
"Invertebrates",19,8,151,26,0.983311258278146,0.99586326327422,3,2
"Diatoms",1,8,129,23,0.995066948555321,0.999867334351772,1,2
"Diatoms",2,8,124,24,1,1,0,4
"Diatoms",3,8,105,21,0.976,0.994050978613402,3,2
"Diatoms",4,8,85,19,0.981699346405229,0.997549183220162,2,2
"Diatoms",5,8,119,24,1,1,0,4
"Diatoms",6,8,117,24,0.988034188034188,0.999310194752137,2,3
"Diatoms",7,8,128,21,1,1,0,1
"Diatoms",8,8,99,23,0.970228601807549,0.997413010242423,4,5
"Diatoms",9,8,114,23,0.977894736842105,0.994520638196554,3,2
"Diatoms",10,8,124,25,0.996679316888046,0.999997255770791,1,5
"Diatoms",11,8,120,24,1,1,0,4
"Diatoms",12,8,107,22,0.976448598130841,0.994162175274834,3,2
"Diatoms",13,8,114,24,0.97953216374269,0.997258954917287,3,3
"Diatoms",14,8,129,25,0.972868217054264,0.990677277478137,4,2
"Diatoms",15,8,119,24,0.996078431372549,0.999991179076265,1,4
"Diatoms",16,8,97,25,0.959908361970218,0.99463094262149,5,5
"Diatoms",17,8,113,24,0.982015415358264,0.999202443939836,3,5
"Diatoms",18,8,101,23,0.972277227722772,0.998401837346535,4,6
"Diatoms",19,8,100,21,0.978275862068966,0.998357471453237,3,4
