"Taxa","Coverage","Orderq","Modnames","AICc","Delta_AICc","LL","adjR2"
"Diatoms","Cmin","0","Additive",140.85,0,-65.82,0.19
"Diatoms","Cmin","0","Disturbance",141.46,0.61,-67.38,0.15
"Diatoms","Cmin","0","Interaction",143.45,2.61,-65.79,0.17
"Diatoms","Cmin","0","Time",145.89,5.05,-69.59,0.04
"Diatoms","Cmin","2","Disturbance",131.76,0,-62.53,0.11
"Diatoms","Cmin","2","Additive",134.06,2.3,-62.42,0.09
"Diatoms","Cmin","2","Interaction",135.89,4.13,-62.01,0.08
"Diatoms","Cmin","2","Time",137.1,5.34,-65.2,-0.02
"Diatoms","Cmax","0","Disturbance",174.98,0,-84.14,0.02
"Diatoms","Cmax","0","Time",176.23,1.24,-84.76,-0.02
"Diatoms","Cmax","0","Additive",176.99,2.01,-83.89,0
"Diatoms","Cmax","0","Interaction",178.27,3.29,-83.2,0.01
"Diatoms","Cmax","2","Disturbance",133.6,0,-63.45,0.05
"Diatoms","Cmax","2","Additive",135.59,1.99,-63.19,0.04
"Diatoms","Cmax","2","Time",136.24,2.64,-64.77,-0.02
"Diatoms","Cmax","2","Interaction",137.55,3.95,-62.84,0.03
"Invertebrates","Cmin","0","Disturbance",101.58,0,-47.44,0.01
"Invertebrates","Cmin","0","Time",102.27,0.69,-47.78,0
"Invertebrates","Cmin","0","Additive",103.16,1.58,-46.97,0.01
"Invertebrates","Cmin","0","Interaction",105.75,4.18,-46.94,-0.02
"Invertebrates","Cmin","2","Additive",115.11,0,-52.95,0.2
"Invertebrates","Cmin","2","Interaction",117.12,2.01,-52.62,0.2
"Invertebrates","Cmin","2","Disturbance",117.73,2.61,-55.51,0.12
"Invertebrates","Cmin","2","Time",119.07,3.96,-56.18,0.08
"Invertebrates","Cmax","0","Disturbance",145.45,0,-69.37,-0.03
"Invertebrates","Cmax","0","Time",145.5,0.04,-69.4,-0.03
"Invertebrates","Cmax","0","Additive",147.94,2.48,-69.36,-0.05
"Invertebrates","Cmax","0","Interaction",149.57,4.12,-68.85,-0.06
"Invertebrates","Cmax","2","Additive",119.39,0,-55.09,0.18
"Invertebrates","Cmax","2","Interaction",121.64,2.25,-54.88,0.17
"Invertebrates","Cmax","2","Disturbance",121.76,2.36,-57.53,0.1
"Invertebrates","Cmax","2","Time",122.44,3.05,-57.87,0.08
"Fish","Cmin","0","Disturbance",183.87,0,-88.65,0.29
"Fish","Cmin","0","Interaction",186.17,2.29,-87.33,0.3
"Fish","Cmin","0","Additive",186.28,2.4,-88.65,0.27
"Fish","Cmin","0","Time",200.61,16.73,-97.02,-0.02
"Fish","Cmin","2","Interaction",122.06,0,-55.28,0.51
"Fish","Cmin","2","Disturbance",122.63,0.57,-58.03,0.47
"Fish","Cmin","2","Additive",124.01,1.94,-57.51,0.47
"Fish","Cmin","2","Time",152.55,30.49,-72.99,-0.01
"Fish","Cmax","0","Disturbance",246.15,0,-119.79,0.05
"Fish","Cmax","0","Additive",248.51,2.36,-119.77,0.03
"Fish","Cmax","0","Time",249.44,3.29,-121.43,-0.02
"Fish","Cmax","0","Interaction",249.81,3.66,-119.15,0.03
"Fish","Cmax","2","Interaction",131.71,0,-60.11,0.43
"Fish","Cmax","2","Disturbance",132.38,0.66,-62.9,0.39
"Fish","Cmax","2","Additive",133.87,2.15,-62.45,0.39
"Fish","Cmax","2","Time",155.67,23.96,-74.55,-0.01
"FishTrait","Cmin","0","Additive",105.01,0,-48.02,0.44
"FishTrait","Cmin","0","Interaction",105.3,0.29,-46.9,0.46
"FishTrait","Cmin","0","Disturbance",105.9,0.89,-49.66,0.42
"FishTrait","Cmin","0","Time",129.92,24.91,-61.67,0.02
"FishTrait","Cmin","2","Additive",81.72,0,-36.37,0.58
"FishTrait","Cmin","2","Interaction",82.09,0.37,-35.3,0.59
"FishTrait","Cmin","2","Disturbance",85.8,4.08,-39.61,0.52
"FishTrait","Cmin","2","Time",118,36.27,-55.71,0.04
"FishTrait","Cmax","0","Interaction",125.84,0,-57.17,0.34
"FishTrait","Cmax","0","Additive",126.46,0.62,-58.74,0.31
"FishTrait","Cmax","0","Disturbance",126.55,0.71,-59.99,0.29
"FishTrait","Cmax","0","Time",141.68,15.84,-67.56,0.01
"FishTrait","Cmax","2","Additive",83.2,0,-37.11,0.56
"FishTrait","Cmax","2","Interaction",83.53,0.33,-36.02,0.57
"FishTrait","Cmax","2","Disturbance",87.38,4.18,-40.4,0.51
"FishTrait","Cmax","2","Time",117.71,34.51,-55.57,0.04
