"Taxa","Coverage","Orderq","Model","Term","Estimate","Std. Error","t value","Pr(>|t|)"
"Diatoms","Cmin","0","Additive","Intercept",21.1590011566826,0.533867257861464,39.6334497857018,1.12945734265485e-30
"Diatoms","Cmin","0","Additive","Group (Undisturbed)",1.28251481076032,0.462342607556766,2.77394899323194,0.00882200403279881
"Diatoms","Cmin","0","Additive","Session",0.073026880705407,0.0422059125757665,1.73025238050029,0.0923952526663099
"Diatoms","Cmin","2","Disturbance","Intercept",17.7217163451845,0.295618154577449,59.9479973431118,1.14409149403884e-37
"Diatoms","Cmin","2","Disturbance","Group (Undisturbed)",0.99207138547993,0.418067203487134,2.37299500464274,0.0231054631869069
"Diatoms","Cmax","0","Disturbance","Intercept",23.6175412809972,0.522068519133433,45.2383938418644,2.53062499707068e-33
"Diatoms","Cmax","0","Disturbance","Group (Undisturbed)",0.952282870402827,0.738316380246539,1.28980325492012,0.2053435610718
"Diatoms","Cmax","2","Disturbance","Intercept",18.2626904838748,0.302866551741,60.2994631757567,9.288438213919e-38
"Diatoms","Cmax","2","Disturbance","Group (Undisturbed)",0.750948920447239,0.428317985061295,1.7532509645603,0.088071275983485
"Invertebrates","Cmin","0","Disturbance","Intercept",24.9669671753992,0.198732945353251,125.630740947456,3.54342647716565e-49
"Invertebrates","Cmin","0","Disturbance","Group (Undisturbed)",0.348068566972212,0.281050826608918,1.23845416564652,0.223562876991756
"Invertebrates","Cmin","2","Additive","Intercept",21.3918947260749,0.380533276853268,56.2155691165047,6.630777051109e-36
"Invertebrates","Cmin","2","Additive","Group (Undisturbed)",0.839565587228003,0.329551484740267,2.54760068184702,0.0153954061892046
"Invertebrates","Cmin","2","Additive","Session",0.067594970798039,0.030083797008594,2.2468896056814,0.0310554656881564
"Invertebrates","Cmax","0","Disturbance","Intercept",26.2902432420051,0.353990138838616,74.268292693856,5.44223002195992e-41
"Invertebrates","Cmax","0","Disturbance","Group (Undisturbed)",0.124108842983336,0.500617655291906,0.247911438343039,0.805611573014008
"Invertebrates","Cmax","2","Additive","Intercept",21.80262290844,0.402578422478053,54.1574552710375,2.41121619114788e-35
"Invertebrates","Cmax","2","Additive","Group (Undisturbed)",0.818338339507642,0.348643140881458,2.34720906150247,0.0246995679538633
"Invertebrates","Cmax","2","Additive","Session",0.0696255355715054,0.0318266187967044,2.18765103563923,0.0354627987675248
"Fish","Cmin","0","Disturbance","Intercept",13.0667524928382,0.354420331598252,36.8679540304979,1.00779890374827e-34
"Fish","Cmin","0","Disturbance","Group (Undisturbed)",-2.20225747800177,0.501226039727018,-4.39374115359445,6.92686806294225e-05
"Fish","Cmin","2","Interaction","Intercept",9.97187699760869,0.260071710702466,38.3427977255741,2.57150193403143e-34
"Fish","Cmin","2","Interaction","Group (Undisturbed)",-1.09391493807304,0.367796940465,-2.97423610074086,0.00485108564727878
"Fish","Cmin","2","Interaction","Session",0.026579958414736,0.0121540837892605,2.18691584455115,0.0343692289093838
"Fish","Cmin","2","Interaction","Session (Undisturbed)",-0.0355806838223283,0.0171884701329911,-2.07003203583753,0.0446351965181856
"Fish","Cmax","0","Disturbance","Intercept",14.4402723898164,0.697426261924997,20.7050883773134,2.58857202850644e-24
"Fish","Cmax","0","Disturbance","Group (Undisturbed)",-1.79195768824176,0.986309678369502,-1.81683068466296,0.0760583913724001
"Fish","Cmax","2","Interaction","Intercept",10.3373437210775,0.28884241543984,35.788870223011,4.2753612186632e-33
"Fish","Cmax","2","Interaction","Group (Undisturbed)",-0.926562394966781,0.408484861303626,-2.26829065833622,0.0285142924885722
"Fish","Cmax","2","Interaction","Session",0.0294502672872466,0.0134986420078749,2.18172074421011,0.034776856176763
"Fish","Cmax","2","Interaction","Session (Undisturbed)",-0.0404791118627981,0.0190899626011559,-2.12043955813445,0.0399175811772881
"FishTrait","Cmin","0","Additive","Intercept",7.98415056988818,0.187271932655955,42.6339946229753,8.11472210580993e-37
"FishTrait","Cmin","0","Additive","Group (Undisturbed)",-1.23760111256213,0.209603001491494,-5.90450090769504,5.03372399566101e-07
"FishTrait","Cmin","0","Additive","Session",0.0129571930415654,0.00725311016919606,1.78643268050644,0.0810811989105128
"FishTrait","Cmin","2","Additive","Intercept",7.45800078783523,0.145395341864955,51.2946335981128,3.32015490464307e-40
"FishTrait","Cmin","2","Additive","Group (Undisturbed)",-1.22521438535385,0.162732875266279,-7.5289911970709,2.22421597837263e-09
"FishTrait","Cmin","2","Additive","Session",0.0143619214235772,0.00563121455350085,2.5504127550332,0.0144032970441831
"FishTrait","Cmax","0","Interaction","Intercept",7.92780492120571,0.270988759997036,29.2551060837078,1.47398101711687e-29
"FishTrait","Cmax","0","Interaction","Group (Undisturbed)",-0.698618395328507,0.383235979638475,-1.8229457369518,0.075435043615621
"FishTrait","Cmax","0","Interaction","Session",0.0296071201974936,0.0126642766568326,2.33784534243573,0.0242333938924134
"FishTrait","Cmax","0","Interaction","Session (Undisturbed)",-0.0308672883753052,0.0179099918057377,-1.72346747615019,0.0921594989438756
"FishTrait","Cmax","2","Additive","Intercept",7.48657477095434,0.147744846313226,50.6723243332795,5.56517136279722e-40
"FishTrait","Cmax","2","Additive","Group (Undisturbed)",-1.2030362949923,0.165362544204869,-7.27514384092834,5.15294494074029e-09
"FishTrait","Cmax","2","Additive","Session",0.0147153994385695,0.00572221171663492,2.57162792418021,0.0136624260817699
