"Taxa","Coverage","Orderq","Modnames","AICc","Delta_AICc","LL","adjR2"
"Diatoms","Cmin","0","Disturbance",-895.84,0,450.95,0.17
"Diatoms","Cmin","0","Additive",-894.2,1.64,451.16,0.16
"Diatoms","Cmin","0","Interaction",-892.75,3.09,451.46,0.16
"Diatoms","Cmin","0","Time",-833.02,62.82,419.54,0
"Diatoms","Cmin","2","Disturbance",-1518.05,0,762.06,0.16
"Diatoms","Cmin","2","Additive",-1516.76,1.29,762.44,0.16
"Diatoms","Cmin","2","Interaction",-1514.89,3.16,762.54,0.16
"Diatoms","Cmin","2","Time",-1457.51,60.55,731.79,0
"Diatoms","Cmax","0","Disturbance",-562.47,0,284.27,0.15
"Diatoms","Cmax","0","Additive",-560.57,1.9,284.34,0.15
"Diatoms","Cmax","0","Interaction",-560.22,2.25,285.2,0.15
"Diatoms","Cmax","0","Time",-505.9,56.57,255.98,0
"Diatoms","Cmax","2","Disturbance",-1491.99,0,749.03,0.21
"Diatoms","Cmax","2","Additive",-1491.04,0.95,749.58,0.21
"Diatoms","Cmax","2","Interaction",-1489.54,2.45,749.86,0.21
"Diatoms","Cmax","2","Time",-1412.75,79.25,709.41,0
"Invertebrates","Cmin","0","Interaction",-1112.94,0,561.56,0.13
"Invertebrates","Cmin","0","Time",-1099.88,13.06,552.98,0.09
"Invertebrates","Cmin","0","Additive",-1099.61,13.34,553.86,0.09
"Invertebrates","Cmin","0","Disturbance",-1068.84,44.11,537.45,0
"Invertebrates","Cmin","2","Interaction",-1715.34,0,862.76,0.16
"Invertebrates","Cmin","2","Additive",-1711.22,4.12,859.67,0.15
"Invertebrates","Cmin","2","Time",-1708.58,6.77,857.32,0.14
"Invertebrates","Cmin","2","Disturbance",-1659.97,55.37,833.02,0.01
"Invertebrates","Cmax","0","Interaction",-854.31,0,432.25,0.14
"Invertebrates","Cmax","0","Time",-851.01,3.3,428.54,0.13
"Invertebrates","Cmax","0","Additive",-849,5.31,428.56,0.12
"Invertebrates","Cmax","0","Disturbance",-804.22,50.09,405.15,0
"Invertebrates","Cmax","2","Interaction",-1696.94,0,853.56,0.17
"Invertebrates","Cmax","2","Additive",-1694.75,2.19,851.43,0.16
"Invertebrates","Cmax","2","Time",-1688.35,8.59,847.21,0.14
"Invertebrates","Cmax","2","Disturbance",-1643.02,53.91,824.55,0.02
"Fish","Cmin","0","Disturbance",-953.46,0,479.75,0.02
"Fish","Cmin","0","Interaction",-952.75,0.7,481.44,0.02
"Fish","Cmin","0","Additive",-951.83,1.63,479.95,0.02
"Fish","Cmin","0","Time",-941.86,11.6,473.95,0
"Fish","Cmin","2","Interaction",-1927.35,0,968.73,0.05
"Fish","Cmin","2","Additive",-1926.79,0.55,967.44,0.04
"Fish","Cmin","2","Disturbance",-1919.46,7.89,962.75,0.03
"Fish","Cmin","2","Time",-1913.22,14.13,959.63,0.02
"Fish","Cmax","0","Disturbance",-308.88,0,157.46,0.03
"Fish","Cmax","0","Additive",-307.54,1.34,157.81,0.03
"Fish","Cmax","0","Interaction",-306.58,2.3,158.35,0.03
"Fish","Cmax","0","Time",-294.61,14.27,150.33,0
"Fish","Cmax","2","Additive",-1779.36,0,893.72,0.06
"Fish","Cmax","2","Interaction",-1778.4,0.96,894.26,0.06
"Fish","Cmax","2","Disturbance",-1773.06,6.3,889.55,0.05
"Fish","Cmax","2","Time",-1754.64,24.71,880.34,0.01
"FishTrait","Cmin","0","Disturbance",-1640.88,0,823.46,0.06
"FishTrait","Cmin","0","Interaction",-1640.63,0.25,825.37,0.06
"FishTrait","Cmin","0","Additive",-1638.92,1.96,823.5,0.06
"FishTrait","Cmin","0","Time",-1607.85,33.03,806.95,0
"FishTrait","Cmin","2","Interaction",-2569.99,0,1290.06,0.13
"FishTrait","Cmin","2","Additive",-2568.87,1.12,1288.48,0.13
"FishTrait","Cmin","2","Disturbance",-2568.16,1.83,1287.1,0.13
"FishTrait","Cmin","2","Time",-2500.48,69.51,1253.27,0
"FishTrait","Cmax","0","Interaction",-982.51,0,496.32,0.07
"FishTrait","Cmax","0","Disturbance",-981.56,0.95,493.8,0.06
"FishTrait","Cmax","0","Additive",-979.55,2.96,493.82,0.06
"FishTrait","Cmax","0","Time",-948.6,33.92,477.32,0
"FishTrait","Cmax","2","Interaction",-2519.73,0,1264.93,0.13
"FishTrait","Cmax","2","Additive",-2518.85,0.88,1263.46,0.13
"FishTrait","Cmax","2","Disturbance",-2517.73,2,1261.89,0.12
"FishTrait","Cmax","2","Time",-2453.64,66.09,1229.85,0
