"Taxa","Coverage","Orderq","Model","Term","Estimate","Std. Error","t value","Pr(>|t|)"
"Diatoms","Cmin","0","Disturbance","Intercept",0.109727983982115,0.00496463312460364,22.1019320518019,9.81330434747131e-68
"Diatoms","Cmin","0","Disturbance","Group (Undisturbed)",-0.0583049198572462,0.00702105149702118,-8.30430027211497,2.4087374394422e-15
"Diatoms","Cmin","2","Disturbance","Intercept",0.138402126516722,0.00199904415625916,69.2341517736735,1.71270830811147e-202
"Diatoms","Cmin","2","Disturbance","Group (Undisturbed)",-0.0230715571885132,0.00282707535756439,-8.16092755602739,6.53575310576787e-15
"Diatoms","Cmax","0","Disturbance","Intercept",0.127607120528839,0.00808264110098196,15.7877999201692,1.66303558121314e-42
"Diatoms","Cmax","0","Disturbance","Group (Undisturbed)",-0.0894967263620609,0.0114305806648029,-7.829587051307,6.2850643004131e-14
"Diatoms","Cmax","2","Disturbance","Intercept",0.144770373568037,0.00207666978404901,69.7127558170417,1.91952357975962e-203
"Diatoms","Cmax","2","Disturbance","Group (Undisturbed)",-0.0278216552994639,0.00293685457317251,-9.47328327170444,4.7555566945985e-19
"Invertebrates","Cmin","0","Interaction","Intercept",0.0647571156849021,0.0106202027534978,6.09754043194459,2.94181871082769e-09
"Invertebrates","Cmin","0","Interaction","Group (Undisturbed)",-0.0488308620129547,0.0150192347691487,-3.25122170093907,0.00126481873277172
"Invertebrates","Cmin","0","Interaction","LagSqrt Session",0.00588266964615496,0.00411318683976433,1.4301975269599,0.153584074198071
"Invertebrates","Cmin","0","Interaction","LagSqrt Session (Undisturbed)",0.0229479650688019,0.00581692461336924,3.94503394733014,9.70517431815044e-05
"Invertebrates","Cmin","2","Interaction","Intercept",0.0770593409373229,0.00440199399366752,17.5055534033387,2.70246619095353e-49
"Invertebrates","Cmin","2","Interaction","Group (Undisturbed)",-0.019147259536176,0.00622535960732952,-3.07568730867093,0.00227144978271636
"Invertebrates","Cmin","2","Interaction","LagSqrt Session",0.00619036123441967,0.00170488494275795,3.63095542647335,0.000326106372559753
"Invertebrates","Cmin","2","Interaction","LagSqrt Session (Undisturbed)",0.00598734648858096,0.00241107140833397,2.48327215356852,0.0135025749645255
"Invertebrates","Cmax","0","Interaction","Intercept",0.0424355035338617,0.0155005699477089,2.7376737550308,0.00651502378932656
"Invertebrates","Cmax","0","Interaction","Group (Undisturbed)",-0.0575071992507773,0.0219211162445627,-2.62337002409908,0.00910104572803285
"Invertebrates","Cmax","0","Interaction","LagSqrt Session",0.018704049002937,0.00600334492641999,3.11560458913875,0.00199285609588631
"Invertebrates","Cmax","0","Interaction","LagSqrt Session (Undisturbed)",0.0230320665147166,0.00849001181454686,2.71284269301643,0.00701238013012872
"Invertebrates","Cmax","2","Interaction","Intercept",0.0755325690689706,0.00452206290563549,16.7031221469388,4.33888665176612e-46
"Invertebrates","Cmax","2","Interaction","Group (Undisturbed)",-0.018715780036118,0.00639516269105399,-2.92655260550274,0.00365943705249537
"Invertebrates","Cmax","2","Interaction","LagSqrt Session",0.00690717800329376,0.00175138743240286,3.94383211589983,9.75180214889968e-05
"Invertebrates","Cmax","2","Interaction","LagSqrt Session (Undisturbed)",0.00509204659956772,0.00247683585987392,2.05586760191163,0.0405629382117806
"Fish","Cmin","0","Disturbance","Intercept",0.135671593279199,0.00590603953381675,22.9716703558064,1.96136413679637e-80
"Fish","Cmin","0","Disturbance","Group (Undisturbed)",0.0290399534456927,0.00835240120863531,3.47683890180816,0.00055121829654387
"Fish","Cmin","2","Interaction","Intercept",0.0955047606406785,0.00484008477934815,19.7320429278805,1.39382461399411e-64
"Fish","Cmin","2","Interaction","Group (Undisturbed)",0.0223914954737415,0.00684491353798972,3.271260527904,0.0011443150352168
"Fish","Cmin","2","Interaction","LagSqrt Session",0.00414940424357651,0.00125484019646297,3.30671925817525,0.00101157456815033
"Fish","Cmin","2","Interaction","LagSqrt Session (Undisturbed)",-0.00285095781247281,0.00177461202444885,-1.60652456604324,0.108787494755504
"Fish","Cmax","0","Disturbance","Intercept",0.155174983594702,0.0111663760866028,13.8966288069839,2.12137348615607e-37
"Fish","Cmax","0","Disturbance","Group (Undisturbed)",0.061364052540378,0.0157916405042323,3.88585673058678,0.000115584734421051
"Fish","Cmax","2","Additive","Intercept",0.103091499051447,0.00437348326302063,23.5719431975704,2.57427291938066e-83
"Fish","Cmax","2","Additive","Group (Undisturbed)",0.0192769741077006,0.00368926859067284,5.22514792130787,2.55389580283801e-07
"Fish","Cmax","2","Additive","LagSqrt Session",0.00297096728021923,0.00102807870529615,2.88982474290566,0.00402101068442346
"FishTrait","Cmin","0","Disturbance","Intercept",0.0606518015830665,0.00299428396477264,20.2558616005118,3.4801764900058e-67
"FishTrait","Cmin","0","Disturbance","Group (Undisturbed)",0.0247147667617689,0.00423455699257775,5.8364468361362,9.55461287565727e-09
"FishTrait","Cmin","2","Interaction","Intercept",0.032463763152943,0.00256487091944952,12.6570748285105,4.62348805925257e-32
"FishTrait","Cmin","2","Interaction","Group (Undisturbed)",0.0203476540242525,0.00362727524002185,5.60962504299232,3.35461999710979e-08
"FishTrait","Cmin","2","Interaction","LagSqrt Session",0.00161350234921157,0.000664968337372314,2.42643485190209,0.0155991371217195
"FishTrait","Cmin","2","Interaction","LagSqrt Session (Undisturbed)",-0.0016674100122342,0.000940407241260615,-1.7730722808972,0.0768230207876188
"FishTrait","Cmax","0","Interaction","Intercept",0.0483839134155686,0.0123118738518634,3.92985779400637,9.6914630569674e-05
"FishTrait","Cmax","0","Interaction","Group (Undisturbed)",0.0817487512686301,0.0174116189795318,4.69506892866939,3.44362913852988e-06
"FishTrait","Cmax","0","Interaction","LagSqrt Session",0.00468957340808027,0.0031919759482354,1.46917567178812,0.142411522789287
"FishTrait","Cmax","0","Interaction","LagSqrt Session (Undisturbed)",-0.0100793790206772,0.00451413567676322,-2.23284804498931,0.0259990638727397
"FishTrait","Cmax","2","Interaction","Intercept",0.0327235354964422,0.00269546340948829,12.140226196821,6.44260086663163e-30
"FishTrait","Cmax","2","Interaction","Group (Undisturbed)",0.0207761345457406,0.00381196091057876,5.45024858153287,7.89795033513686e-08
"FishTrait","Cmax","2","Interaction","LagSqrt Session",0.0017201163714778,0.000698825741390539,2.46143819495698,0.0141733791240364
"FishTrait","Cmax","2","Interaction","LagSqrt Session (Undisturbed)",-0.00168561153338449,0.000988288841209933,-1.70558592093465,0.0887037939041003
